name,type,count,amount,year,quarter
Recharge & bill payments,TOTAL,72550406,14472713558.65257,2018,Q1
Peer-to-peer payments,TOTAL,46982705,147245883542.774,2018,Q1
Merchant payments,TOTAL,5368669,4656678915.140091,2018,Q1
Financial Services,TOTAL,3762820,815853105.1000278,2018,Q1
Others,TOTAL,5761576,4643217301.269438,2018,Q1
Recharge & bill payments,TOTAL,92033715,24351225616.36898,2018,Q2
Peer-to-peer payments,TOTAL,74558816,264767671095.3184,2018,Q2
Merchant payments,TOTAL,10613941,9052859939.339659,2018,Q2
Financial Services,TOTAL,5186569,1176991419.239996,2018,Q2
Others,TOTAL,4973199,5027454207.140578,2018,Q2
Peer-to-peer payments,TOTAL,202021587,425967421714.0399,2018,Q3
Recharge & bill payments,TOTAL,102290514,31364311860.39459,2018,Q3
Merchant payments,TOTAL,25175938,12433150984.830221,2018,Q3
Financial Services,TOTAL,6218596,891447809.4200314,2018,Q3
Others,TOTAL,5594554,4449556277.549749,2018,Q3
Peer-to-peer payments,TOTAL,200235002,594995709377.7327,2018,Q4
Recharge & bill payments,TOTAL,131917248,39578607327.024284,2018,Q4
Merchant payments,TOTAL,71498510,30497289208.33978,2018,Q4
Financial Services,TOTAL,5216165,868584631.590013,2018,Q4
Others,TOTAL,8246415,5802659774.449922,2018,Q4
Peer-to-peer payments,TOTAL,404841331,887893108631.5127,2019,Q1
Recharge & bill payments,TOTAL,180504739,55473071028.878845,2019,Q1
Merchant payments,TOTAL,110496541,40575915112.522,2019,Q1
Financial Services,TOTAL,4627353,603852042.0000324,2019,Q1
Others,TOTAL,8526177,5484252454.820415,2019,Q1
Peer-to-peer payments,TOTAL,384711008,1196425281586.992,2019,Q2
Recharge & bill payments,TOTAL,209898072,76865848586.98372,2019,Q2
Merchant payments,TOTAL,206467182,73415840739.88434,2019,Q2
Financial Services,TOTAL,2650384,545329308.0899862,2019,Q2
Others,TOTAL,11656557,6969423863.8303385,2019,Q2
Peer-to-peer payments,TOTAL,461911865,1440512511470.7,2019,Q3
Merchant payments,TOTAL,376320628,123209398484.4437,2019,Q3
Recharge & bill payments,TOTAL,240103872,101520929811.0681,2019,Q3
Financial Services,TOTAL,2870292,617120839.9299941,2019,Q3
Others,TOTAL,13804992,6705143103.510092,2019,Q3
Peer-to-peer payments,TOTAL,703497002,1963952535223.0903,2019,Q4
Merchant payments,TOTAL,456578271,174239646473.03162,2019,Q4
Recharge & bill payments,TOTAL,285310032,116344996244.2673,2019,Q4
Financial Services,TOTAL,2476840,551204225.4200497,2019,Q4
Others,TOTAL,12583379,4811822509.649999,2019,Q4
Peer-to-peer payments,TOTAL,693998661,2320557268853.5933,2020,Q1
Merchant payments,TOTAL,566355270,231298042209.836,2020,Q1
Recharge & bill payments,TOTAL,351300991,140373550367.1558,2020,Q1
Financial Services,TOTAL,1358171,773848137.0300015,2020,Q1
Others,TOTAL,10027019,4116905195.8207293,2020,Q1
Peer-to-peer payments,TOTAL,631031364,2243915932390.771,2020,Q2
Recharge & bill payments,TOTAL,448842692,171590686463.1578,2020,Q2
Merchant payments,TOTAL,363275861,226908226049.5139,2020,Q2
Financial Services,TOTAL,1682062,1751767444.100008,2020,Q2
Others,TOTAL,3779461,1987466180.2098682,2020,Q2
Peer-to-peer payments,TOTAL,916790263,3287051873253.504,2020,Q3
Merchant payments,TOTAL,672019839,405291207894.2984,2020,Q3
Recharge & bill payments,TOTAL,436172619,204262355709.7218,2020,Q3
Financial Services,TOTAL,2531978,2673063432.960006,2020,Q3
Others,TOTAL,5541374,2789907563.650221,2020,Q3
Peer-to-peer payments,TOTAL,1249512647,4474548495095.518,2020,Q4
Merchant payments,TOTAL,1127490136,684873639322.252,2020,Q4
Recharge & bill payments,TOTAL,479784084,227875840842.11212,2020,Q4
Financial Services,TOTAL,2942567,3259168195.749941,2020,Q4
Others,TOTAL,9556404,5323095366.309718,2020,Q4
Merchant payments,TOTAL,1467948823,844466633896.8679,2021,Q1
Peer-to-peer payments,TOTAL,1447600942,5170856441552.582,2021,Q1
Recharge & bill payments,TOTAL,530118545,260182440730.43268,2021,Q1
Financial Services,TOTAL,3075296,3573884778.530081,2021,Q1
Others,TOTAL,8851525,5199901891.890038,2021,Q1
Peer-to-peer payments,TOTAL,1744272888,6163165772736.494,2021,Q2
Merchant payments,TOTAL,1499626469,1003530942287.598,2021,Q2
Recharge & bill payments,TOTAL,685024821,300559461295.9022,2021,Q2
Financial Services,TOTAL,3397384,3651996523.449995,2021,Q2
Others,TOTAL,9061732,5598131364.820071,2021,Q2
Merchant payments,TOTAL,2316924871,1426965558783.555,2021,Q3
Peer-to-peer payments,TOTAL,2215575286,7429357587018.912,2021,Q3
Recharge & bill payments,TOTAL,714583744,349234592690.4992,2021,Q3
Financial Services,TOTAL,3112160,4043342762.3300233,2021,Q3
Others,TOTAL,13558464,7146868847.289721,2021,Q3
Merchant payments,TOTAL,3152394530,1995855822160.6418,2021,Q4
Peer-to-peer payments,TOTAL,2716561423,9203910371491.78,2021,Q4
Recharge & bill payments,TOTAL,738096162,407266894783.1069,2021,Q4
Financial Services,TOTAL,4141629,5028434834.240034,2021,Q4
Others,TOTAL,14562602,9296993478.869577,2021,Q4
Merchant payments,TOTAL,3748851071,2272818129376.52,2022,Q1
Peer-to-peer payments,TOTAL,3074250150,10505936803336.92,2022,Q1
Recharge & bill payments,TOTAL,749674246,447599848131.4118,2022,Q1
Financial Services,TOTAL,4035100,4921211866.489969,2022,Q1
Others,TOTAL,16393502,8422766458.459174,2022,Q1
Merchant payments,TOTAL,4765203787,2847096877386.341,2022,Q2
Peer-to-peer payments,TOTAL,3506141323,12123524700463.531,2022,Q2
Recharge & bill payments,TOTAL,845751926,523046092987.9396,2022,Q2
Financial Services,TOTAL,3272822,3889787479.819907,2022,Q2
Others,TOTAL,11241480,6711034131.160171,2022,Q2
Merchant payments,TOTAL,5618132071,3151614767860.314,2022,Q3
Peer-to-peer payments,TOTAL,3957113406,12837803371386.291,2022,Q3
Recharge & bill payments,TOTAL,956164949,607048699730.3645,2022,Q3
Financial Services,TOTAL,3959631,4514223164.469998,2022,Q3
Others,TOTAL,10005043,6725900102.770244,2022,Q3
Merchant payments,TOTAL,6565690145,3673601044800.037,2022,Q4
Peer-to-peer payments,TOTAL,4459859921,14578874324207.22,2022,Q4
Recharge & bill payments,TOTAL,991049281,649776847580.25,2022,Q4
Financial Services,TOTAL,4623387,5360528394.309982,2022,Q4
Others,TOTAL,10013085,7361492606.590162,2022,Q4
Merchant payments,TOTAL,7205999708,3745994748195.0,2023,Q1
Peer-to-peer payments,TOTAL,4792478560,15924876501456.0,2023,Q1
Recharge & bill payments,TOTAL,1076952638,829952832616.0001,2023,Q1
Financial Services,TOTAL,4884759,5673343900.0,2023,Q1
Others,TOTAL,10259195,7571900579.0,2023,Q1
Merchant payments,TOTAL,8529595637,4277821161887.0,2023,Q2
Peer-to-peer payments,TOTAL,5374546962,17722778868673.0,2023,Q2
Recharge & bill payments,TOTAL,1190947064,904758857308.0,2023,Q2
Financial Services,TOTAL,5195942,6364033676.0,2023,Q2
Others,TOTAL,9341245,6919677602.0,2023,Q2
Merchant payments,TOTAL,9868299757,4686944326058.0,2023,Q3
Peer-to-peer payments,TOTAL,5929662466,18342686827713.0,2023,Q3
Recharge & bill payments,TOTAL,1229068434,967694654180.0,2023,Q3
Financial Services,TOTAL,6273522,8553479441.0,2023,Q3
Others,TOTAL,8491944,6397985054.0,2023,Q3
Merchant payments,TOTAL,11107996161,5419672580085.0,2023,Q4
Peer-to-peer payments,TOTAL,6643982862,20533815852133.0,2023,Q4
